subj,session,time,person,chat,form,gloss,obj,gs_rel,context,spoken_obj,gestured_obj,referent,comments
43,5,,child,,,,,,C singing itsy bitsy spider,,,,
43,5,,parent,,,,,,C singing itsy bitsy spider,,,,
43,5,,child,Thomas climbing .,,,,,,,,,
43,5,,child,Thomas +...,,,,,,,,,
43,5,,child,climbing .,,,,,,,,,
43,5,,parent,"what are you doing, Lincoln ?",$,,,,,child,,child,
43,5,,child,"listen carefully, Mom .",,,,,,mom,,mom,
43,5,,parent,listen carefully ?,$,,,,,,,,
43,5,,parent,were you listening carefully ?,$,,,,,,,,
43,5,,parent,for Lilia ?,$,,,,,,,,
43,5,,child,no .,,,,,,,,,
43,5,,child,I not &xxx .,,,,,,,,,
43,5,,child,this a purple boxcar .,,,,,,boxcar,,boxcar,
43,5,,parent,uhoh .,,,,,,,,,
43,5,,parent,you got # cars on the track .,,,,,,car; track,,car; track,
43,5,,parent,"oops, now you have even more .",,,,,,,,,
43,5,,parent,you want to count all of these now ?,,,,,,,,,
43,5,,parent,we had six .,,,,,,,,,
43,5,0:01:21,child,we have four five six .,,,,,,,,,
43,5,,child,we have six boxes .,,,,,,box,,box,
43,5,,child,one box .,,,,,,box,,box,
43,5,,child,one box .,,,,,,box,,box,
43,5,,child,how_about go on +...,,,,,,,,,
43,5,,child,how_about I go on the rail truck ?,,,,,,rail_truck,,rail_truck,
43,5,,child,I put him with the milk truck .,,,,,,milk_truck,,milk_truck,
43,5,,child,"&oh, I pull him up and down &xxx .",,,,,,,,,
43,5,,parent,crane &xxx up up up ?,$,,,,,,,,
43,5,,child,that is the broken down car .,,,,,,car,,car,
43,5,,parent,yeah ?,$,,,,,,,,
43,5,,child,it broken down .,,,,,,,,,
43,5,,parent,who's going to fix it ?,$,,,,,,,,
43,5,,child,"who broke it, Mom ?",,,,,,mom,,mom,
43,5,0:02:54,parent,I don't know .,,,,,,,,,
43,5,,child,"who broke it, Mom ?",,,,,,mom,,mom,
43,5,,child,he sick .,,,,,,,,,
43,5,,child,&xxx take a down .,,,,,,,,,
43,5,,child,there .,,,,,,,,,
43,5,,child,"who broke it, Mom ?",,,,,,mom,,mom,
43,5,,parent,I don't know .,$,,,,,,,,
43,5,,parent,maybe there's something on the track .,$,,,,,train_track,,train_track,
43,5,,parent,maybe it ran over something big on the train tracks .,$,,,,,train_track,,train_track,
43,5,,child,who broke it ?,,,,,,,,,
43,5,,child,who broke the milk truck ?,,,,,,milk_truck,,milk_truck,
43,5,,child,"who broke it, Mom ?",,,,,,mom,,mom,
43,5,,parent,maybe there was a big piece of metal on the track .,$,,,,,metal; train_track,,metal; train_track,
43,5,,child,yes .,,,,,,,,,
43,5,,parent,who's going to fix it ?,$,,,,,,,,
43,5,,child,who broke it ?,,,,,,,,,
43,5,0:04:22,child,"who broke it, Mom ?",,,,,,mom,,mom,
43,5,,parent,Lincoln .,$,,,,,child,,child,
43,5,,child,who broke it ?,,,,,,,,,
43,5,,parent,maybe something was on the track and it ran over it .,$,,,,,train_track,,train_track,
43,5,,parent,broke one of the wheels .,$,,,,,wheel,,wheel,
43,5,,child,who broke it ?,,,,,,,,,
43,5,,child,who broke the milk truck ?,,,,,,milk_truck,,milk_truck,
43,5,,child,"who broke the milk truck, Mom ?",,,,,,milk_truck; mom,,milk_truck; mom,
43,5,,child,who broke it ?,,,,,,,,,
43,5,,child,milk truck .,,,,,,milk_truck,,milk_truck,
43,5,,parent,Lincoln .,$,,,,,child,,child,
43,5,,child,who broke the milk .,,,,,M and C at once,milk ,,milk ,
43,5,,parent,who # who do you think broke it ?,$,,,,M and C at once,,,,
43,5,,child,who +...,,,,,M and C at once,,,,
43,5,,parent,uhoh .,$,,,,M and C at once,,,,
43,5,,parent,who broke Cranky ?,$,,,,,,,,
43,5,,parent,did you knock him over ?,$,,,,,,,,
43,5,,parent,can you fix him ?,$,,,,,,,,
43,5,,parent,can you put him right side up ?,$,,,,,,,,
43,5,,child,who broke him ?,,,,,,,,,
43,5,,parent,"well, he's not broken .",$,,,,,,,,
43,5,,parent,he just fell over .,$,,,,,,,,
43,5,,parent,maybe a big gust of wind came by .,$,,,,,,,,
43,5,,parent,can you # can you lift him back up again ?,$,,,,,,,,
43,5,,parent,can you be the big crane and lift up the little crane ?,$,,,,,crane,,crane,
43,5,,parent,up up up .,$,,,,,,,,
43,5,,parent,you did it .,$,,,,,,,,
43,5,,child,yes .,,,,,,,,,
43,5,,parent,let's open the window .,$,,,,,window,,window,
43,5,,parent,it's nice out today .,$,,,,,,,,
43,5,,child,crane .,,,,,,crane,,crane,
43,5,,child,crane for crane .,,,,,,crane,,crane,
43,5,,child,p@l for crane .,,,,,,crane,,crane,
43,5,,parent,huh ?,$,,,,,,,,
43,5,,child,how_about for crane ?,,,,,,crane,,crane,
43,5,,parent,c@l .,$,,,,,,,,
43,5,,parent,c@l for crane .,$,,,,,crane,,crane,
43,5,,child,"c@l for crane, Mom .",,,,,,crane; mom,,crane; mom,
43,5,,child,"what is for crane, Mom ?",,,,,,crane; mom,,crane; mom,
43,5,,parent,c@l .,$,,,,,,,,
43,5,,child,a tie &xxx .,,,,,,,,,
43,5,0:05:50,child,"&oh, I got it .",,,,,,,,,
43,5,,child,dump the milk truck .,,,,,,milk_truck,,milk_truck,
43,5,,child,there .,,,,,,,,,
43,5,,child,a how it going to get down ?,,,,,,,,,
43,5,,child,he going &xxx .,,,,,,,,,
43,5,0:06:56,child,"no, Mom .",,,,,,mom,,mom,
43,5,,child,&ooh .,,,,,,,,,
43,5,,child,&xxx up .,,,,,,,,,
43,5,,child,I cannot reach you .,,,,,,,,,
43,5,,child,no .,,,,,,,,,
43,5,,child,I said no@q .,,,,,,,,,
43,5,,parent,who'd you say no to ?,$,,,,,,,,
43,5,0:07:44,child,to my milk truck .,point,milktruck,milktruck,Reinforce,,milk_truck,milk_truck,milk_truck,
43,5,,parent,"no, it's not really nice to say no, Lincoln .",$,,,,,child,,child,
43,5,,child,how_about I say no@q to ?,,,,,,,,,
43,5,,parent,I don't know .,$,,,,,,,,
43,5,,parent,you don't really need to say no .,$,,,,,,,,
43,5,,parent,it's not very nice to say no .,$,,,,,,,,
